id,Credit_rating,Age,Income,Credit_cards,Education,Car_loans
1,Bad,36.21981863,Medium,5 or more,College,More than 2
2,Bad,21.98953255,Medium,5 or more,College,More than 2
3,Bad,29.16967048,Low,5 or more,High school,More than 2
4,Bad,32.75256866,Low,5 or more,College,None or 1
5,Bad,36.77058188,Medium,5 or more,College,More than 2
6,Bad,39.32488456,Medium,5 or more,College,More than 2
7,Bad,31.69943835,Medium,5 or more,College,More than 2
8,Bad,34.71790504,Low,5 or more,High school,More than 2
9,Bad,31.53146114,Low,5 or more,High school,More than 2
10,Bad,24.77996989,Medium,5 or more,College,More than 2
11,Bad,22.76268041,Low,5 or more,College,More than 2
12,Bad,45.96576577,Low,5 or more,High school,More than 2
13,Bad,29.3860485,Medium,5 or more,High school,More than 2
14,Bad,29.21466006,Low,5 or more,College,None or 1
15,Bad,39.60336809,Low,5 or more,High school,More than 2
16,Bad,39.4559523,Low,5 or more,College,More than 2
17,Bad,34.12724966,Low,5 or more,College,More than 2
18,Bad,35.81792587,Medium,5 or more,College,More than 2
19,Bad,35.96556904,Medium,5 or more,College,More than 2
20,Bad,26.26307849,High,5 or more,College,More than 2
21,Bad,21.51867486,Low,5 or more,College,More than 2
22,Bad,29.23231508,Medium,5 or more,High school,More than 2
23,Bad,22.94439221,Low,5 or more,College,More than 2
24,Bad,43.41514531,Medium,5 or more,College,More than 2
25,Bad,20.16066002,Medium,5 or more,High school,More than 2
26,Bad,27.98448868,Medium,5 or more,High school,More than 2
27,Bad,29.49018927,Medium,5 or more,College,More than 2
28,Bad,30.11577658,Medium,5 or more,High school,More than 2
29,Bad,25.43095088,Medium,5 or more,College,More than 2
30,Bad,40.18545678,Low,5 or more,College,None or 1
31,Bad,20.52114396,Low,5 or more,College,More than 2
32,Bad,22.75843803,Low,5 or more,High school,More than 2
33,Bad,32.89567502,Medium,5 or more,High school,More than 2
34,Bad,33.21182256,Medium,5 or more,High school,More than 2
35,Bad,27.98090885,High,5 or more,High school,None or 1
36,Bad,20.99263103,Medium,5 or more,College,More than 2
37,Bad,28.60925466,Medium,5 or more,College,More than 2
38,Bad,20.78914143,Medium,5 or more,High school,More than 2
39,Bad,20.70598625,Medium,5 or more,High school,None or 1
40,Bad,24.48340078,Low,5 or more,High school,More than 2
41,Bad,47.15657055,Medium,5 or more,College,More than 2
42,Bad,24.67667422,Medium,5 or more,High school,More than 2
43,Bad,30.81285257,High,5 or more,High school,More than 2
44,Bad,20.88827104,Low,5 or more,High school,More than 2
45,Bad,21.05018719,Medium,5 or more,College,More than 2
46,Bad,32.4320734,Medium,5 or more,High school,More than 2
47,Bad,31.35094299,Medium,5 or more,High school,More than 2
48,Bad,22.9262008,Medium,5 or more,College,More than 2
49,Bad,35.14640456,Medium,5 or more,High school,More than 2
50,Bad,24.68598771,Medium,Less than 5,College,None or 1
51,Bad,37.32591182,Low,5 or more,High school,More than 2
52,Bad,30.7003826,Medium,5 or more,High school,More than 2
53,Bad,32.91887845,Low,5 or more,High school,More than 2
54,Bad,23.85429322,Low,5 or more,College,More than 2
55,Bad,46.76654406,Low,5 or more,High school,More than 2
56,Bad,27.91039236,Medium,5 or more,High school,More than 2
57,Bad,46.44138458,Medium,5 or more,College,None or 1
58,Bad,20.65989768,Low,5 or more,High school,More than 2
59,Bad,20.96444547,Low,5 or more,College,None or 1
60,Bad,24.45418328,Medium,5 or more,High school,More than 2
61,Bad,27.06244228,Low,5 or more,High school,More than 2
62,Bad,38.05884088,Low,5 or more,College,More than 2
63,Bad,22.99244746,Medium,5 or more,College,More than 2
64,Bad,22.37036157,Low,5 or more,College,More than 2
65,Bad,26.20544628,Low,5 or more,High school,More than 2
66,Bad,36.4479348,Medium,5 or more,High school,More than 2
67,Bad,22.7212962,Medium,5 or more,College,More than 2
68,Bad,33.28090462,Low,5 or more,College,More than 2
69,Bad,28.1458427,Medium,5 or more,High school,More than 2
70,Bad,44.13116725,Medium,5 or more,High school,None or 1
71,Bad,24.88833221,Low,5 or more,College,More than 2
72,Bad,21.87183547,Medium,5 or more,High school,More than 2
73,Bad,28.22968577,Low,5 or more,High school,None or 1
74,Bad,36.98107474,Medium,5 or more,College,More than 2
75,Bad,24.15702096,Low,5 or more,College,More than 2
76,Bad,35.66828913,Medium,5 or more,College,More than 2
77,Bad,24.97366083,Low,5 or more,College,More than 2
78,Bad,30.56916856,Medium,5 or more,High school,More than 2
79,Bad,20.37501914,Low,5 or more,College,More than 2
80,Bad,32.66888642,Medium,5 or more,College,More than 2
81,Bad,20.57287824,Low,5 or more,High school,More than 2
82,Bad,26.6588422,Low,Less than 5,High school,None or 1
83,Bad,30.804043,Low,5 or more,College,More than 2
84,Bad,29.84260856,Medium,5 or more,College,More than 2
85,Bad,50.82593062,Low,5 or more,High school,More than 2
86,Bad,29.25532861,Low,5 or more,College,More than 2
87,Bad,35.21777505,Medium,5 or more,College,More than 2
88,Bad,35.81793817,Low,5 or more,College,None or 1
89,Bad,24.43799567,Medium,5 or more,High school,More than 2
90,Bad,23.39659781,Medium,5 or more,High school,More than 2
91,Bad,38.67663771,Medium,5 or more,High school,More than 2
92,Bad,21.86081439,Medium,5 or more,College,More than 2
93,Bad,24.04264629,Low,5 or more,High school,More than 2
94,Bad,25.7179112,Medium,5 or more,College,More than 2
95,Bad,26.80749717,Medium,5 or more,College,More than 2
96,Bad,36.62029546,Medium,5 or more,High school,More than 2
97,Bad,29.05041825,Low,5 or more,College,More than 2
98,Bad,30.77225471,Low,5 or more,High school,More than 2
99,Bad,22.17411564,Low,5 or more,High school,More than 2
100,Bad,42.92791166,Low,5 or more,College,More than 2
101,Bad,26.79121417,Medium,Less than 5,High school,None or 1
102,Bad,24.23984464,Low,5 or more,College,More than 2
103,Bad,25.81516671,Low,5 or more,College,More than 2
104,Bad,20.74492836,Medium,5 or more,High school,More than 2
105,Bad,40.87495289,Medium,5 or more,High school,More than 2
106,Bad,52.95441659,Low,5 or more,College,More than 2
